Date,Adj Close,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI,^HSI
2021-03-04,29236.7890625,29236.7890625,29597.16015625,29102.099609375,29525.48046875,2957909000
2021-03-05,29098.2890625,29098.2890625,29397.26953125,28513.130859375,28667.140625,3996713300
2021-03-08,28540.830078125,28540.830078125,29386.330078125,28422.26953125,29362.58984375,4906906100
2021-03-09,28773.23046875,28773.23046875,29047.130859375,28326.130859375,28665.259765625,4377944400
2021-03-10,28907.51953125,28907.51953125,29255.369140625,28710.91015625,29255.369140625,2842785200
2021-03-11,29385.609375,29385.609375,29412.419921875,28893.2109375,28909.98046875,3604263600
2021-03-12,28739.720703125,28739.720703125,29550.369140625,28707.349609375,29550.369140625,3557237800
2021-03-15,28833.759765625,28833.759765625,29178.990234375,28612.740234375,28923.94921875,3096719600
2021-03-16,29027.689453125,29027.689453125,29118.619140625,28872.400390625,29036.8203125,2351605600
2021-03-17,29034.119140625,29034.119140625,29180.009765625,28780.23046875,28992.240234375,1901329200
2021-03-18,29405.720703125,29405.720703125,29596.580078125,29317.609375,29317.609375,2113745200
2021-03-19,28990.939453125,28990.939453125,29271.400390625,28737.5390625,29158.48046875,3814440800
2021-03-22,28885.33984375,28885.33984375,29139.0703125,28801.08984375,28801.08984375,2065830600
2021-03-23,28497.380859375,28497.380859375,29043.1796875,28376.220703125,29008.01953125,2049560300
2021-03-24,27918.140625,27918.140625,28457.869140625,27827.05078125,28437.490234375,2689142400
2021-03-25,27899.609375,27899.609375,28032.009765625,27505.080078125,27628.080078125,2595007600
2021-03-26,28336.4296875,28336.4296875,28415.150390625,28014.2890625,28043.650390625,2415384100
2021-03-29,28338.30078125,28338.30078125,28484.66015625,28132.359375,28317.3203125,2847744100
2021-03-30,28577.5,28577.5,28694.150390625,28371.23046875,28552.76953125,2269839800
2021-03-31,28378.349609375,28378.349609375,28802.529296875,28332.779296875,28802.529296875,2703755400
2021-04-01,28938.740234375,28938.740234375,28938.740234375,28511.650390625,28594.55078125,2232972100
